id,split,bank,title,url,old_is_campaign,is_campaign,old_product_type,suggested_product_type,final_product_type,status,confidence,reason
adil_katilim-790dd5f0a379,train,Adil Katılım Bankası A.Ş.,Katılım Bankacılığı Ürün ve Hizmetleri,https://www.adilkatilim.com.tr/katilim-bankaciligi/urun-ve-hizmetler,HAYIR,HAYIR,DIGER,DIGER,DIGER,MANUAL,0.99,manual_semantic_resolution
adil_katilim-d14d4002927a,train,Adil Katılım Bankası A.Ş.,Anasayfa | Adil Katılım,https://www.adilkatilim.com.tr/,HAYIR,HAYIR,DIGER,DIGER,DIGER,MANUAL,0.99,manual_semantic_resolution
adil_katilim-539564082f74,train,Adil Katılım Bankası A.Ş.,Katılım Bankacılığı,https://www.adilkatilim.com.tr/katilim-bankaciligi,HAYIR,HAYIR,DIGER,DIGER,DIGER,MANUAL,0.99,manual_semantic_resolution
adil_katilim-baf4292d0c82,train,Adil Katılım Bankası A.Ş.,Belgeler | Adil Katılım,https://www.adilkatilim.com.tr/katilim-bankaciligi/belgeler,HAYIR,HAYIR,DIGER,DIGER,DIGER,MANUAL,0.99,manual_semantic_resolution
adil_katilim-b45752aafa88,train,Adil Katılım Bankası A.Ş.,Müşteri Memnuniyeti Politikamız,https://www.adilkatilim.com.tr/musteri-memnuniyeti-politikasi,HAYIR,HAYIR,DIGER,DIGER,DIGER,MANUAL,0.99,manual_semantic_resolution
albaraka-ccb86d59dcff,train,Albaraka Türk Katılım Bankası A.Ş.,Dijital Katılma Hesabı’na Özel Paylaşım Oranları!,https://www.albaraka.com.tr/tr/kampanyalar/detay/dijital-katilma-hesabina-ozel-paylasim-oranlari-10,EVET,EVET,KATILMA_HESABI,DIGER_KAMPANYA,DIGER_KAMPANYA,CORRECT,0.94,non_card_campaign
albaraka-59c8c39a6db1,train,Albaraka Türk Katılım Bankası A.Ş.,Ürün ve Hizmet Ücretleri,https://www.albaraka.com.tr/tr/urun-ve-hizmet-ucretleri,HAYIR,HAYIR,DIGER,DIGER,DIGER,ACCEPT,0.98,editorial_or_reference_page
albaraka-905356593b63,train,Albaraka Türk Katılım Bankası A.Ş.,Ara Dönem Kâr Payı,https://www.albaraka.com.tr/tr/bireysel/hesaplar/katilma-hesaplari/ara-donem-kar-payi,HAYIR,HAYIR,KATILMA_HESABI,KATILMA_HESABI,KATILMA_HESABI,ACCEPT,0.96,participation_account
albaraka-b4030d83952a,train,Albaraka Türk Katılım Bankası A.Ş.,Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL\u0027ye varan Worldpuan!,https://www.albaraka.com.tr/tr/kampanyalar/detay/eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan,EVET,EVET,DIGER_FINANSMAN,KART_KAMPANYASI,KART_KAMPANYASI,CORRECT,0.98,explicit_card_campaign
albaraka-597c3001b957,train,Albaraka Türk Katılım Bankası A.Ş.,2026 | Albaraka Türk,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-ea53872ed45c,train,Albaraka Türk Katılım Bankası A.Ş.,Albaraka World Kampanyaları,https://www.albaraka.com.tr/tr/world-dunyasi/kampanyalar,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-7b5a4d2abdc9,train,Albaraka Türk Katılım Bankası A.Ş.,Hazine Ürünlerimizle Döviz ve Kıymetli Maden Al-Sat,https://www.albaraka.com.tr/tr/bireysel/yatirim/hazine-urunleri,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
