pasaj_id,span_no,banka,etiket,yakalanan,normal_deger,guven,baglam,ONAY_E_H,DUZELTILMIS_ETIKET,NOT
adil_katilim-d14d4002927a-p006,0,adil_katilim,HEDEF_KITLE,KOBİ’lere,"{""metin"": ""kobi̇’lere""}",0.85,"Girişimcilerden ⟪KOBİ’lere⟫, yatırımcılardan öğrencilere herkesin ve her kesimin finans",,,
albaraka-ccb86d59dcff-p011,0,albaraka,HARCAMA_ESIGI,250 TL,"{""deger"": 250.0, ""birim"": ""TRY""}",0.8,Dijital Katılma Hesabı TL cinsinden minimum ⟪250 TL⟫ ile açılmaktadır.,,,
albaraka-59c8c39a6db1-p000,0,albaraka,VADE_SURESI,36 ay,"{""deger"": 36, ""birim"": ""ay""}",0.85,Ürün ve Hizmet Ücretleri Konut Finansmanı Kalan Vadesi ?⟪36 ay⟫,,,
albaraka-59c8c39a6db1-p040,0,albaraka,VADE_SURESI,36 ay,"{""deger"": 36, ""birim"": ""ay""}",0.85,Konut Finansmanı Kalan Vadesi ?⟪36 ay⟫ Konut Finansmanı Kalan Vadesi >36 ay,,,
albaraka-59c8c39a6db1-p040,1,albaraka,VADE_SURESI,36 ay,"{""deger"": 36, ""birim"": ""ay""}",0.85,nansmanı Kalan Vadesi ?36 ay Konut Finansmanı Kalan Vadesi >⟪36 ay⟫,,,
albaraka-59c8c39a6db1-p129,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,TRY ⟪Ücretsiz⟫ sunulmaktadır. Düzenli EFT Gönderimi - 8.300-399.000 TL ara,,,
albaraka-59c8c39a6db1-p130,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,TRY ⟪Ücretsiz⟫ sunulmaktadır. Düzenli EFT Gönderimi - 399.000 TL üstü,,,
albaraka-59c8c39a6db1-p196,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,TRY ⟪Ücretsiz⟫ sunulmaktadır. Düzenli Havale Gönderimi - 8.300-399.000 TL,,,
albaraka-59c8c39a6db1-p197,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,TRY ⟪Ücretsiz⟫ sunulmaktadır. Düzenli Havale Gönderimi - 399.000 TL üstü,,,
albaraka-59c8c39a6db1-p222,0,albaraka,TAHSIS_UCRETI,749 TL,"{""deger"": 749.0, ""birim"": ""TRY""}",0.85,TRY Oran + Sabit Tutar şeklinde komisyon uygulanmaktadır. 0-⟪749 TL⟫ /750- 2000 TL/2000 TL üzeri işlemlerde sırasıyla 15 TL /25,,,
albaraka-59c8c39a6db1-p223,0,albaraka,TAHSIS_UCRETI,749 TL,"{""deger"": 749.0, ""birim"": ""TRY""}",0.85,TRY Oran + Sabit Tutar şeklinde komisyon uygulanmaktadır. 0-⟪749 TL⟫ /750- 2000 TL/2000 TL üzeri işlemlerde sırasıyla 15 TL /25,,,
albaraka-59c8c39a6db1-p224,0,albaraka,TAHSIS_UCRETI,749 TL,"{""deger"": 749.0, ""birim"": ""TRY""}",0.85,TRY Oran + Sabit Tutar şeklinde komisyon uygulanmaktadır. 0-⟪749 TL⟫ /750- 2000 TL/2000 TL üzeri işlemlerde sırasıyla 15 TL /25,,,
albaraka-59c8c39a6db1-p225,0,albaraka,TAHSIS_UCRETI,749 TL,"{""deger"": 749.0, ""birim"": ""TRY""}",0.85,TRY Oran + Sabit Tutar şeklinde komisyon uygulanmaktadır. 0-⟪749 TL⟫ /750- 2000 TL/2000 TL üzeri işlemlerde sırasıyla 15 TL /25,,,
albaraka-59c8c39a6db1-p322,0,albaraka,MASRAF_DURUMU,ücretsiz,"{""metin"": ""ücretsiz""}",0.7,"eni ile 1 takvim yılı içerisinde yapılacak ilk iki yenileme ⟪ücretsiz⟫dir, sonraki kart yenileme işlemleri için kart başına 300 TL",,,
albaraka-59c8c39a6db1-p323,0,albaraka,MASRAF_DURUMU,ücretsiz,"{""metin"": ""ücretsiz""}",0.7,"eni ile 1 takvim yılı içerisinde yapılacak ilk iki yenileme ⟪ücretsiz⟫dir, sonraki kart yenileme işlemleri için kart başına 4500 T",,,
albaraka-59c8c39a6db1-p339,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 1 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p340,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 3 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p341,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 6 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p342,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 12 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p344,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 1 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p345,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 3 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p346,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 6 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p347,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 12 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p349,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 1 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p350,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 3 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p351,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 6 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p352,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 12 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p396,0,albaraka,TAHSIS_UCRETI,225 TL,"{""deger"": 225.0, ""birim"": ""TRY""}",0.85,"TL , 5-10-20-50-100 gram altın teslimlerinde altın gramı * ⟪225 TL⟫ olarak komisyon uygulanmaktadır.Külçe altın teslimlerinde i",,,
albaraka-59c8c39a6db1-p396,1,albaraka,TAHSIS_UCRETI,3.000 TL,"{""deger"": 3000.0, ""birim"": ""TRY""}",0.85,gulanmaktadır.Külçe altın teslimlerinde ise kilogram başına ⟪3.000 TL⟫ komisyon uygulanmaktadır. (Külçe altın teslimlerinde külçe,,,
albaraka-59c8c39a6db1-p424,0,albaraka,TAHSIS_UCRETI,100 TL,"{""deger"": 100.0, ""birim"": ""TRY""}",0.85,"rtı ile yapılan anlık ödemelerde ise, parametrik olarak her ⟪100 TL⟫ için 2 TL komisyon uygulanmaktadır. BSMV Hariçtir.",,,
albaraka-59c8c39a6db1-p424,1,albaraka,TAHSIS_UCRETI,2 TL,"{""deger"": 2.0, ""birim"": ""TRY""}",0.85,"lan anlık ödemelerde ise, parametrik olarak her 100 TL için ⟪2 TL⟫ komisyon uygulanmaktadır. BSMV Hariçtir.",,,
albaraka-59c8c39a6db1-p555,0,albaraka,KAMPANYA_SURESI,30.06.2024,"{""tarih"": ""2024-06-30""}",0.82,Finansman Erken Kapama-Kalan Vadesi 24 Aya Kadar (1.3.2021 -⟪30.06.2024⟫ Tarihleri Arası Kullandırılan Finansmanlarda),,,
albaraka-59c8c39a6db1-p566,0,albaraka,KAMPANYA_SURESI,30.06.2024,"{""tarih"": ""2024-06-30""}",0.82,inansman Erken Kapama-Kalan Vadesi 24 Aydan Uzun (1.3.2021 -⟪30.06.2024⟫ Tarihleri Arası Kullandırılan Finansmanlarda),,,
albaraka-59c8c39a6db1-p592,0,albaraka,KAMPANYA_SURESI,06.01.2025,"{""tarih"": ""2025-01-06""}",0.82,Nakdi Finansman Erken Kapama- (⟪06.01.2025⟫ Tarihinden İtibaren Kullandırılan YP Finansmanlarda),,,
albaraka-59c8c39a6db1-p664,0,albaraka,TAHSIS_UCRETI,225 TL,"{""deger"": 225.0, ""birim"": ""TRY""}",0.85,"TL , 5-10-20-50-100 gram altın teslimlerinde altın gramı * ⟪225 TL⟫ olarak komisyon uygulanmaktadır.Külçe altın teslimlerinde i",,,
albaraka-59c8c39a6db1-p664,1,albaraka,TAHSIS_UCRETI,3.000 TL,"{""deger"": 3000.0, ""birim"": ""TRY""}",0.85,gulanmaktadır.Külçe altın teslimlerinde ise kilogram başına ⟪3.000 TL⟫ komisyon uygulanmaktadır. (Külçe altın teslimlerinde külçe,,,
albaraka-59c8c39a6db1-p690,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,399.000 TL üstü ⟪Ücretsiz⟫ sunulmaktadır. Düzenli EFT Gönderimi - 8.300 TL ve altı,,,
albaraka-59c8c39a6db1-p691,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,⟪Ücretsiz⟫ sunulmaktadır. Düzenli EFT Gönderimi - 8.300-399.000 TL ara,,,
albaraka-59c8c39a6db1-p692,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,⟪Ücretsiz⟫ sunulmaktadır. Düzenli EFT Gönderimi - 399.000 TL üstü,,,
albaraka-59c8c39a6db1-p737,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,399.000 TL üstü ⟪Ücretsiz⟫ sunulmaktadır. Düzenli Havale Gönderimi - 8.300 TL ve altı,,,
albaraka-59c8c39a6db1-p738,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,⟪Ücretsiz⟫ sunulmaktadır. Düzenli Havale Gönderimi - 8.300-399.000 TL,,,
albaraka-59c8c39a6db1-p739,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,⟪Ücretsiz⟫ sunulmaktadır. Düzenli Havale Gönderimi - 399.000 TL üstü,,,
albaraka-59c8c39a6db1-p832,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p833,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 3 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p834,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 6 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p835,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Büyük Kasa - 12 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p837,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 1 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p838,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 3 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p839,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 6 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p840,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Orta Kasa - 12 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p842,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 1 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p843,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 3 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p844,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 6 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p845,0,albaraka,KAMPANYA_SURESI,06.09.2025,"{""tarih"": ""2025-09-06""}",0.82,Küçük Kasa - 12 Aylık TRY ⟪06.09.2025⟫ tarihi öncesi ve sonrası satılan kasalara göre değişkenlik,,,
albaraka-59c8c39a6db1-p1015,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,Ticari Kart Üyelik (Asıl Kart) ⟪Ücretsiz⟫ sunulmaktadır.,,,
albaraka-59c8c39a6db1-p1016,0,albaraka,MASRAF_DURUMU,Ücretsiz,"{""metin"": ""ücretsiz""}",0.7,Ticari Kart Üyelik (Ek Kart) ⟪Ücretsiz⟫ sunulmaktadır.,,,
albaraka-905356593b63-p000,0,albaraka,VADE_SURESI,1 yıl,"{""deger"": 12, ""birim"": ""ay""}",0.8,ayı Müşteri Ol Ara Dönem Kâr Payı Ödemeli Katılma Hesap ile ⟪1 yıl⟫ vadeli olarak açtığınız hesaplarda tercihinize göre 1 aylık,,,
albaraka-4c438cd4bddb-p001,1,albaraka,FINANSMAN_TUTARI,40.000 TL,"{""deger"": 40000.0, ""birim"": ""TRY""}",0.8,Kampanya Başlangıç ve Bitiş Müşteri Ol Vade farksız ⟪40.000 TL⟫ ve uygun oranlı hoş geldin finansmanı Albaraka'da!,,,
albaraka-4c438cd4bddb-p030,0,albaraka,VADE_SURESI,3 ay,"{""deger"": 3, ""birim"": ""ay""}",0.85,"terilerimiz, Albaraka Mobil ve İnternet kanalları üzerinden ⟪3 ay⟫ ertelemeli 36 aya vadeli finansman kullanabilecektir.",,,
albaraka-4c438cd4bddb-p033,0,albaraka,VADE_SURESI,3 ay,"{""deger"": 3, ""birim"": ""ay""}",0.85,(⟪3 ay⟫ ertelemeli) 1-6 ay vade 40.001 – 150.000 TL,,,
albaraka-4c438cd4bddb-p033,1,albaraka,VADE_SURESI,6 ay,"{""deger"": 6, ""birim"": ""ay""}",0.85,(3 ay ertelemeli) 1-⟪6 ay⟫ vade 40.001 – 150.000 TL,,,
albaraka-4c438cd4bddb-p034,0,albaraka,VADE_SURESI,3 ay,"{""deger"": 3, ""birim"": ""ay""}",0.85,(⟪3 ay⟫ ertelemeli) 1-6 ay vade 250-TL-150.000-TL,,,
albaraka-4c438cd4bddb-p034,1,albaraka,VADE_SURESI,6 ay,"{""deger"": 6, ""birim"": ""ay""}",0.85,(3 ay ertelemeli) 1-⟪6 ay⟫ vade 250-TL-150.000-TL,,,
albaraka-4c438cd4bddb-p035,0,albaraka,VADE_SURESI,3 ay,"{""deger"": 3, ""birim"": ""ay""}",0.85,(⟪3 ay⟫ ertelemeli) 7-12 ay vade 250-TL-150.000-TL,,,
albaraka-4c438cd4bddb-p035,1,albaraka,VADE_SURESI,12 ay,"{""deger"": 12, ""birim"": ""ay""}",0.85,(3 ay ertelemeli) 7-⟪12 ay⟫ vade 250-TL-150.000-TL,,,
