pasaj_id,span_no,banka,etiket,yakalanan,normal_deger,guven,baglam,ONAY_E_H,DUZELTILMIS_ETIKET,NOT
albaraka-ccb86d59dcff-p003,0,albaraka,KAR_PAYLASIM_ORANI,98/2,"{""musteri"": 98.0, ""banka"": 2.0, ""birim"": ""yuzde""}",0.9,⟪98/2⟫ kâr paylaşım oranı ile birikime başlayın!,,,
albaraka-4c438cd4bddb-p004,0,albaraka,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"hemen müşterimiz olun , ⟪vade farksız⟫ ve uygun oranlı Pratik Finansman Kart ’ta ile daha birçok a",,,
albaraka-4c438cd4bddb-p036,4,albaraka,TAKSIT_SAYISI,4 taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,"sız, azami 40.000 TL limitli, 3 aya varan ödemesiz dönem ve ⟪4 taksit⟫ imkânı ile birlikte toplam 6 aya varan vade imkanıyla sunul",,,
albaraka-4c438cd4bddb-p066,2,albaraka,TAKSIT_SAYISI,12 taksit,"{""deger"": 12, ""birim"": ""adet""}",0.93,sahip olabilirsiniz. Bilgisayar alışverişlerinizde maksimum ⟪12 taksit⟫ imkanına sahip olabilirsiniz. Tablet alışverişlerinizde mak,,,
albaraka-1795dc07077a-p000,0,albaraka,HEDEF_KITLE,Yeni Müşterilerimize Özel,"{""metin"": ""yeni müşterilerimize özel""}",0.9,Kampanyalar ⟪Yeni Müşterilerimize Özel⟫ Vade Farksız 140.000 TL’ye Varan Destek!,,,
albaraka-1795dc07077a-p004,0,albaraka,HEDEF_KITLE,Yeni Müşterilerimize Özel,"{""metin"": ""yeni müşterilerimize özel""}",0.9,⟪Yeni Müşterilerimize Özel⟫ Yurt Dışı Çıkış Harcı Kampanyası | 1.250 TL Worldpuan!,,,
albaraka-1795dc07077a-p013,3,albaraka,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,00 TL- 100.000 TL arası sağlık harcamalarınıza vade farksız ⟪6 taksit⟫ fırsatı!,,,
albaraka-1795dc07077a-p016,0,albaraka,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,anyası 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda ⟪vade farksız⟫ 4 taksit fırsatını kaçırmayın!,,,
albaraka-ea53872ed45c-p024,0,albaraka,KAMPANYA_SURESI,31 Ağustos 2026 tarihine kadar,"{""bitis"": ""2026-08-31""}",0.9,İdefix harcamalarınızda ⟪31 Ağustos 2026 tarihine kadar⟫ World'e özel 6 taksit fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p027,0,albaraka,TAKSIT_SAYISI,6 Taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,Hepsiburada Harcamalarınızda World’e Özel ⟪6 Taksit⟫ Fırsatı!,,,
albaraka-ea53872ed45c-p030,1,albaraka,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,arcamalarınızda 24 Haziran 2026 tarihine kadar World'e özel ⟪6 taksit⟫ fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p034,0,albaraka,KAMPANYA_SURESI,31 Temmuz 2026 tarihine kadar,"{""bitis"": ""2026-07-31""}",0.9,Media Markt harcamalarınızda ⟪31 Temmuz 2026 tarihine kadar⟫ World'e özel 6 taksit fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p037,0,albaraka,TAKSIT_SAYISI,9 Taksit,"{""deger"": 9, ""birim"": ""adet""}",0.93,"İstikbal, Bellona ve Mondihome'da World’e Özel ⟪9 Taksit⟫ Fırsatı!",,,
albaraka-ea53872ed45c-p040,1,albaraka,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,arcamalarınızda 31 Ağustos 2026 tarihine kadar World'e özel ⟪6 taksit⟫ fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p044,0,albaraka,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,Kiğılı ve Abdullah Kiğılı harcamalarınızda ⟪31 Aralık 2026 tarihine kadar⟫ World'e özel 6 taksit fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p047,0,albaraka,TAKSIT_SAYISI,6 Taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,Civil Harcamalarınızda World’e Özel ⟪6 Taksit⟫ Fırsatı!,,,
albaraka-ea53872ed45c-p050,1,albaraka,TAKSIT_SAYISI,5 taksit,"{""deger"": 5, ""birim"": ""adet""}",0.93,nız harcamalarda 31 Aralık 2026 tarihine kadar World'e özel ⟪5 taksit⟫ fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p054,0,albaraka,KAMPANYA_SURESI,7 Temmuz 2026 tarihine kadar,"{""bitis"": ""2026-07-07""}",0.9,Saat&Saat Harcamalarınızda ⟪7 Temmuz 2026 tarihine kadar⟫ World'e özel 7 taksit fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p057,0,albaraka,TAKSIT_SAYISI,6 Taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,Fiat Yetkili Servislerde World’e Özel ⟪6 Taksit⟫ Fırsatı!,,,
albaraka-ea53872ed45c-p060,1,albaraka,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,arcamalarınızda 31 Ağustos 2026 tarihine kadar World'e özel ⟪6 taksit⟫ fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p064,0,albaraka,KAMPANYA_SURESI,31 Mayıs 2026 tarihine kadar,"{""bitis"": ""2026-05-31""}",0.9,D&R harcamalarınızda ⟪31 Mayıs 2026 tarihine kadar⟫ World'e özel 7 taksit fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p066,2,albaraka,TAKSIT_SAYISI,3 taksit,"{""deger"": 3, ""birim"": ""adet""}",0.93,şverişlerinizde 31 Ağustos 2026 tarihine kadar World’e özel ⟪3 taksit⟫ fırsatını kaçırmayın.,,,
albaraka-ea53872ed45c-p070,0,albaraka,KAMPANYA_SURESI,5 Temmuz 2026 tarihine kadar,"{""bitis"": ""2026-07-05""}",0.9,Opmar Optik harcamalarınızda ⟪5 Temmuz 2026 tarihine kadar⟫ World'e özel 6 taksit fırsatını kaçırmayın.,,,
