kayit_id,banka,baslik,url,onerilen_tur,guven,gerekce,metin_basi,ONAY_E_H,DUZELTILMIS_TUR,NOT
adil_katilim-790dd5f0a379,adil_katilim,Katılım Bankacılığı Ürün ve Hizmetleri,https://www.adilkatilim.com.tr/katilim-bankaciligi/urun-ve-hizmetler,Diğer / Kampanya Değil,0.7,kampanya sayfasi degil,"Katılım Bankacılığı Ürün ve Hizmetleri Adil Katılım Bankası, katılım esasları doğrultusunda bireysel ve ticari müşterilere yönelik geniş bir ürün hizmet yelpazesi sunar. Tüm çözümler gerçek ticaret, kâr-zarar paylaşımı v",,,
adil_katilim-d14d4002927a,adil_katilim,Anasayfa | Adil Katılım,https://www.adilkatilim.com.tr/,Diğer / Kampanya Değil,0.7,kampanya sayfasi degil,"Dijital bankacılığın yeni yüzüne Hoş Geldiniz Hızlı ve güvenilir finansal işlemlerinizin yeni adresi, değerlerinize saygılı, sizi anlayan finansal ürün ve hizmetlerin yeni bankası Adil Katılım Bankası ’ndasınız. Mobil uy",,,
adil_katilim-c3a6ec8b8228,adil_katilim,Bize Ulaşın,https://www.adilkatilim.com.tr/bize-ulasin,Diğer / Kampanya Değil,0.45,kampanya sayfasi degil,Bize Ulaşın Adil Katılım olarak size en iyi hizmeti sunmayı hedefliyoruz. Memnuniyetiniz bizim için önceliklidir. Görüş ve önerilerinizi bizimle paylaşabilirsiniz. Adil Katılım olarak size en iyi hizmeti sunmayı hedefliy,,,
adil_katilim-539564082f74,adil_katilim,Katılım Bankacılığı,https://www.adilkatilim.com.tr/katilim-bankaciligi,Diğer / Kampanya Değil,0.7,kampanya sayfasi degil,"Katılım Bankacılığı Katılım bankacılığı, faizsiz finans ilkeleri doğrultusunda reel ekonomiyi esas alan bir bankacılık anlayışıdır. Tüm işlemler, kâr-zarar paylaşımı ve gerçek ticaret prensiplerine dayanır. Katılım Banka",,,
adil_katilim-baf4292d0c82,adil_katilim,Belgeler | Adil Katılım,https://www.adilkatilim.com.tr/katilim-bankaciligi/belgeler,Diğer / Kampanya Değil,0.45,kampanya sayfasi degil,Belgeler Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu Özel Cari Hesap Bilgilendirme Formu Yatırım Vekâletine Dayalı Fi,,,
adil_katilim-b45752aafa88,adil_katilim,Müşteri Memnuniyeti Politikamız,https://www.adilkatilim.com.tr/musteri-memnuniyeti-politikasi,Diğer / Kampanya Değil,0.45,kampanya sayfasi degil,"Müşteri Memnuniyeti Politikamız Bankacılık anlayışımızın temelini ""Adil Paylaşım Herkesin Hakkı"" ilkesi oluşturur. Adil Katılım Bankası olarak müşterilerimizi birer paydaş olarak görür, her türlü talep, öneri ve şikâyeti",,,
adil_katilim-b9702a2ed763,adil_katilim,Danışma Komitesi,https://www.adilkatilim.com.tr/katilim-bankaciligi/danisma-komitesi,Diğer / Kampanya Değil,0.45,kampanya sayfasi degil,Danışma Komitesi Doç. Dr. Abdulkadir ATAR Başkan 1983 yılında Erzurum'da doğdu. İlk ve orta öğrenimini İstanbul'da tamamladı. 2000 yılında Kadıköy İmam-Hatip Lisesi'nden mezun oldu. Ankara Üniversitesi Dil ve Tarih-Coğra,,,
adil_katilim-100195cd5222,adil_katilim,Katılım Bankacılığı Nedir?,https://www.adilkatilim.com.tr/katilim-bankaciligi/katilim-bankaciligi-nedir,Diğer / Kampanya Değil,0.7,kampanya sayfasi degil,"Katılım Bankacılığı Nedir? Katılım bankacılığı, fon toplama ve finansman kullandırma başta olmak üzere bankacılık faaliyetlerinin katılım finans esaslarına uygun şekilde gerçekleştirildiği finansal faaliyet türüdür. Katı",,,
albaraka-ccb86d59dcff,albaraka,Dijital Katılma Hesabı’na Özel Paylaşım Oranları!,https://www.albaraka.com.tr/tr/kampanyalar/detay/dijital-katilma-hesabina-ozel-paylasim-oranlari-10,Yatırım Ürünü Kampanyası,0.85,"eslesen alanlar: url,baslik,govde","Dijital Katılma Hesabı’na Özel Paylaşım Oranları! Kampanya Başlangıç ve Bitiş Müşteri Ol Albaraka Mobil’i indirerek görüntülü görüşme ile anında Albarakalı olun, avantajlı dijital dünyamıza katılın. 98/2 paylaşım oranlı",,,
albaraka-59c8c39a6db1,albaraka,Ürün ve Hizmet Ücretleri,https://www.albaraka.com.tr/tr/urun-ve-hizmet-ucretleri,Diğer / Kampanya Değil,0.7,kampanya sayfasi degil,Ürün ve Hizmet Ücretleri Konut Finansmanı Kalan Vadesi ?36 ay Ürün / Hizmet Para Birimi Asgari Tutar Asgari Oran Azami Tutar Azami Oran Açıklama Güncelleme Tarihi Tahsis Ücreti Ürün / Hizmet Para Birimi Asgari Tutar Asga,,,
